area_id,time_id,area_inla_id,time_inla_id,msoa_name
W02000001,2021,1,1,Isle of Anglesey 001
W02000001,2023,1,2,Isle of Anglesey 001
W02000001,2025,1,3,Isle of Anglesey 001
W02000002,2021,2,1,Isle of Anglesey 002
W02000002,2023,2,2,Isle of Anglesey 002
W02000002,2025,2,3,Isle of Anglesey 002
W02000003,2021,3,1,Isle of Anglesey 003
W02000003,2023,3,2,Isle of Anglesey 003
W02000003,2025,3,3,Isle of Anglesey 003
W02000004,2021,4,1,Isle of Anglesey 004
W02000004,2023,4,2,Isle of Anglesey 004
W02000004,2025,4,3,Isle of Anglesey 004
W02000005,2021,5,1,Isle of Anglesey 005
W02000005,2023,5,2,Isle of Anglesey 005
W02000005,2025,5,3,Isle of Anglesey 005
W02000006,2021,6,1,Isle of Anglesey 006
W02000006,2023,6,2,Isle of Anglesey 006
W02000006,2025,6,3,Isle of Anglesey 006
W02000007,2021,7,1,Isle of Anglesey 007
W02000007,2023,7,2,Isle of Anglesey 007
W02000007,2025,7,3,Isle of Anglesey 007
W02000008,2021,8,1,Isle of Anglesey 008
W02000008,2023,8,2,Isle of Anglesey 008
W02000008,2025,8,3,Isle of Anglesey 008
W02000009,2021,9,1,Isle of Anglesey 009
W02000009,2023,9,2,Isle of Anglesey 009
W02000009,2025,9,3,Isle of Anglesey 009
W02000010,2021,10,1,Gwynedd 001
W02000010,2023,10,2,Gwynedd 001
W02000010,2025,10,3,Gwynedd 001
W02000011,2021,11,1,Gwynedd 002
W02000011,2023,11,2,Gwynedd 002
W02000011,2025,11,3,Gwynedd 002
W02000012,2021,12,1,Gwynedd 003
W02000012,2023,12,2,Gwynedd 003
W02000012,2025,12,3,Gwynedd 003
W02000013,2021,13,1,Gwynedd 004
W02000013,2023,13,2,Gwynedd 004
W02000013,2025,13,3,Gwynedd 004
W02000014,2021,14,1,Gwynedd 005
W02000014,2023,14,2,Gwynedd 005
W02000014,2025,14,3,Gwynedd 005
W02000015,2021,15,1,Gwynedd 006
W02000015,2023,15,2,Gwynedd 006
W02000015,2025,15,3,Gwynedd 006
W02000016,2021,16,1,Gwynedd 007
W02000016,2023,16,2,Gwynedd 007
W02000016,2025,16,3,Gwynedd 007
W02000017,2021,17,1,Gwynedd 008
W02000017,2023,17,2,Gwynedd 008
W02000017,2025,17,3,Gwynedd 008
W02000018,2021,18,1,Gwynedd 009
W02000018,2023,18,2,Gwynedd 009
W02000018,2025,18,3,Gwynedd 009
W02000019,2021,19,1,Gwynedd 010
W02000019,2023,19,2,Gwynedd 010
W02000019,2025,19,3,Gwynedd 010
W02000020,2021,20,1,Gwynedd 011
W02000020,2023,20,2,Gwynedd 011
W02000020,2025,20,3,Gwynedd 011
W02000021,2021,21,1,Gwynedd 012
W02000021,2023,21,2,Gwynedd 012
W02000021,2025,21,3,Gwynedd 012
W02000022,2021,22,1,Gwynedd 013
W02000022,2023,22,2,Gwynedd 013
W02000022,2025,22,3,Gwynedd 013
W02000023,2021,23,1,Gwynedd 014
W02000023,2023,23,2,Gwynedd 014
W02000023,2025,23,3,Gwynedd 014
W02000024,2021,24,1,Gwynedd 015
W02000024,2023,24,2,Gwynedd 015
W02000024,2025,24,3,Gwynedd 015
W02000025,2021,25,1,Gwynedd 016
W02000025,2023,25,2,Gwynedd 016
W02000025,2025,25,3,Gwynedd 016
W02000026,2021,26,1,Gwynedd 017
W02000026,2023,26,2,Gwynedd 017
