dvla_code,la_code,la_name,la_name_welsh,note
1,W06000001,Isle of Anglesey,Ynys Môn,
2,W06000002,Gwynedd,Gwynedd,
3,W06000003,Conwy,Conwy,
4,W06000004,Denbighshire,Sir Ddinbych,
5,W06000005,Flintshire,Sir y Fflint,
6,W06000006,Wrexham,Wrecsam,
7,W06000023,Powys,Powys,Powys: use current LAD code W06000023 for census/boundary joins.
8,W06000008,Ceredigion,Ceredigion,
9,W06000009,Pembrokeshire,Sir Benfro,
10,W06000010,Carmarthenshire,Sir Gaerfyrddin,
11,W06000011,Swansea,Abertawe,
12,W06000012,Neath Port Talbot,Castell-nedd Port Talbot,
13,W06000013,Bridgend,Pen-y-bont ar Ogwr,
14,W06000014,Vale of Glamorgan,Bro Morgannwg,
15,W06000015,Cardiff,Caerdydd,
16,W06000016,Rhondda Cynon Taf,Rhondda Cynon Taf,
17,W06000024,Merthyr Tydfil,Merthyr Tudful,Merthyr Tydfil: use current LAD code W06000024 for census/boundary joins.
18,W06000018,Caerphilly,Caerffili,
19,W06000019,Blaenau Gwent,Blaenau Gwent,
20,W06000020,Torfaen,Torfaen,
21,W06000021,Monmouthshire,Sir Fynwy,
22,W06000022,Newport,Casnewydd,
