msoa_code,msoa_name,msoa_name_welsh,la_code,la_name,la_name_welsh
W02000001,Isle of Anglesey 001,Ynys Môn 001,W06000001,Isle of Anglesey,Ynys Môn
W02000002,Isle of Anglesey 002,Ynys Môn 002,W06000001,Isle of Anglesey,Ynys Môn
W02000003,Isle of Anglesey 003,Ynys Môn 003,W06000001,Isle of Anglesey,Ynys Môn
W02000004,Isle of Anglesey 004,Ynys Môn 004,W06000001,Isle of Anglesey,Ynys Môn
W02000005,Isle of Anglesey 005,Ynys Môn 005,W06000001,Isle of Anglesey,Ynys Môn
W02000006,Isle of Anglesey 006,Ynys Môn 006,W06000001,Isle of Anglesey,Ynys Môn
W02000007,Isle of Anglesey 007,Ynys Môn 007,W06000001,Isle of Anglesey,Ynys Môn
W02000008,Isle of Anglesey 008,Ynys Môn 008,W06000001,Isle of Anglesey,Ynys Môn
W02000009,Isle of Anglesey 009,Ynys Môn 009,W06000001,Isle of Anglesey,Ynys Môn
W02000010,Gwynedd 001,Gwynedd 001,W06000002,Gwynedd,Gwynedd
W02000011,Gwynedd 002,Gwynedd 002,W06000002,Gwynedd,Gwynedd
W02000012,Gwynedd 003,Gwynedd 003,W06000002,Gwynedd,Gwynedd
W02000013,Gwynedd 004,Gwynedd 004,W06000002,Gwynedd,Gwynedd
W02000014,Gwynedd 005,Gwynedd 005,W06000002,Gwynedd,Gwynedd
W02000015,Gwynedd 006,Gwynedd 006,W06000002,Gwynedd,Gwynedd
W02000016,Gwynedd 007,Gwynedd 007,W06000002,Gwynedd,Gwynedd
W02000017,Gwynedd 008,Gwynedd 008,W06000002,Gwynedd,Gwynedd
W02000018,Gwynedd 009,Gwynedd 009,W06000002,Gwynedd,Gwynedd
W02000019,Gwynedd 010,Gwynedd 010,W06000002,Gwynedd,Gwynedd
W02000020,Gwynedd 011,Gwynedd 011,W06000002,Gwynedd,Gwynedd
W02000021,Gwynedd 012,Gwynedd 012,W06000002,Gwynedd,Gwynedd
W02000022,Gwynedd 013,Gwynedd 013,W06000002,Gwynedd,Gwynedd
W02000023,Gwynedd 014,Gwynedd 014,W06000002,Gwynedd,Gwynedd
W02000024,Gwynedd 015,Gwynedd 015,W06000002,Gwynedd,Gwynedd
W02000025,Gwynedd 016,Gwynedd 016,W06000002,Gwynedd,Gwynedd
W02000026,Gwynedd 017,Gwynedd 017,W06000002,Gwynedd,Gwynedd
W02000027,Conwy 001,Conwy 001,W06000003,Conwy,Conwy
W02000028,Conwy 002,Conwy 002,W06000003,Conwy,Conwy
W02000029,Conwy 003,Conwy 003,W06000003,Conwy,Conwy
W02000030,Conwy 004,Conwy 004,W06000003,Conwy,Conwy
W02000031,Conwy 005,Conwy 005,W06000003,Conwy,Conwy
W02000032,Conwy 006,Conwy 006,W06000003,Conwy,Conwy
W02000033,Conwy 007,Conwy 007,W06000003,Conwy,Conwy
W02000034,Conwy 008,Conwy 008,W06000003,Conwy,Conwy
W02000035,Conwy 009,Conwy 009,W06000003,Conwy,Conwy
W02000036,Conwy 010,Conwy 010,W06000003,Conwy,Conwy
W02000037,Conwy 011,Conwy 011,W06000003,Conwy,Conwy
W02000038,Conwy 012,Conwy 012,W06000003,Conwy,Conwy
W02000039,Conwy 013,Conwy 013,W06000003,Conwy,Conwy
W02000040,Conwy 014,Conwy 014,W06000003,Conwy,Conwy
W02000041,Conwy 015,Conwy 015,W06000003,Conwy,Conwy
W02000042,Denbighshire 001,Sir Ddinbych 001,W06000004,Denbighshire,Sir Ddinbych
W02000043,Denbighshire 002,Sir Ddinbych 002,W06000004,Denbighshire,Sir Ddinbych
W02000044,Denbighshire 003,Sir Ddinbych 003,W06000004,Denbighshire,Sir Ddinbych
W02000045,Denbighshire 004,Sir Ddinbych 004,W06000004,Denbighshire,Sir Ddinbych
W02000047,Denbighshire 006,Sir Ddinbych 006,W06000004,Denbighshire,Sir Ddinbych
W02000049,Denbighshire 008,Sir Ddinbych 008,W06000004,Denbighshire,Sir Ddinbych
W02000050,Denbighshire 009,Sir Ddinbych 009,W06000004,Denbighshire,Sir Ddinbych
W02000051,Denbighshire 010,Sir Ddinbych 010,W06000004,Denbighshire,Sir Ddinbych
W02000052,Denbighshire 011,Sir Ddinbych 011,W06000004,Denbighshire,Sir Ddinbych
W02000053,Denbighshire 012,Sir Ddinbych 012,W06000004,Denbighshire,Sir Ddinbych
W02000054,Denbighshire 013,Sir Ddinbych 013,W06000004,Denbighshire,Sir Ddinbych
W02000055,Denbighshire 014,Sir Ddinbych 014,W06000004,Denbighshire,Sir Ddinbych
W02000056,Denbighshire 015,Sir Ddinbych 015,W06000004,Denbighshire,Sir Ddinbych
W02000057,Denbighshire 016,Sir Ddinbych 016,W06000004,Denbighshire,Sir Ddinbych
W02000058,Flintshire 001,Sir y Fflint 001,W06000005,Flintshire,Sir y Fflint
W02000059,Flintshire 002,Sir y Fflint 002,W06000005,Flintshire,Sir y Fflint
W02000060,Flintshire 003,Sir y Fflint 003,W06000005,Flintshire,Sir y Fflint
W02000061,Flintshire 004,Sir y Fflint 004,W06000005,Flintshire,Sir y Fflint
W02000062,Flintshire 005,Sir y Fflint 005,W06000005,Flintshire,Sir y Fflint
W02000063,Flintshire 006,Sir y Fflint 006,W06000005,Flintshire,Sir y Fflint
W02000064,Flintshire 007,Sir y Fflint 007,W06000005,Flintshire,Sir y Fflint
W02000065,Flintshire 008,Sir y Fflint 008,W06000005,Flintshire,Sir y Fflint
W02000066,Flintshire 009,Sir y Fflint 009,W06000005,Flintshire,Sir y Fflint
W02000067,Flintshire 010,Sir y Fflint 010,W06000005,Flintshire,Sir y Fflint
W02000068,Flintshire 011,Sir y Fflint 011,W06000005,Flintshire,Sir y Fflint
W02000069,Flintshire 012,Sir y Fflint 012,W06000005,Flintshire,Sir y Fflint
