area_id,time_id,msoa_name,age_band,sex,pop_count
W02000001,2021,Isle of Anglesey 001,16_24,1,389
W02000001,2021,Isle of Anglesey 001,25_34,1,372
W02000001,2021,Isle of Anglesey 001,35_49,1,641
W02000001,2021,Isle of Anglesey 001,50_64,1,1012
W02000001,2021,Isle of Anglesey 001,65_plus,1,1104
W02000001,2021,Isle of Anglesey 001,16_24,2,407
W02000001,2021,Isle of Anglesey 001,25_34,2,424
W02000001,2021,Isle of Anglesey 001,35_49,2,603
W02000001,2021,Isle of Anglesey 001,50_64,2,980
W02000001,2021,Isle of Anglesey 001,65_plus,2,1104
W02000001,2023,Isle of Anglesey 001,16_24,1,375
W02000001,2023,Isle of Anglesey 001,25_34,1,394
W02000001,2023,Isle of Anglesey 001,35_49,1,614
W02000001,2023,Isle of Anglesey 001,50_64,1,1055
W02000001,2023,Isle of Anglesey 001,65_plus,1,1138
W02000001,2023,Isle of Anglesey 001,16_24,2,369
W02000001,2023,Isle of Anglesey 001,25_34,2,434
W02000001,2023,Isle of Anglesey 001,35_49,2,600
W02000001,2023,Isle of Anglesey 001,50_64,2,1025
W02000001,2023,Isle of Anglesey 001,65_plus,2,1186
W02000001,2025,Isle of Anglesey 001,16_24,1,382
W02000001,2025,Isle of Anglesey 001,25_34,1,394
W02000001,2025,Isle of Anglesey 001,35_49,1,611
W02000001,2025,Isle of Anglesey 001,50_64,1,1029
W02000001,2025,Isle of Anglesey 001,65_plus,1,1166
W02000001,2025,Isle of Anglesey 001,16_24,2,345
W02000001,2025,Isle of Anglesey 001,25_34,2,378
W02000001,2025,Isle of Anglesey 001,35_49,2,593
W02000001,2025,Isle of Anglesey 001,50_64,2,1028
W02000001,2025,Isle of Anglesey 001,65_plus,2,1202
W02000002,2021,Isle of Anglesey 002,16_24,1,220
W02000002,2021,Isle of Anglesey 002,25_34,1,241
W02000002,2021,Isle of Anglesey 002,35_49,1,410
W02000002,2021,Isle of Anglesey 002,50_64,1,746
W02000002,2021,Isle of Anglesey 002,65_plus,1,971
W02000002,2021,Isle of Anglesey 002,16_24,2,230
W02000002,2021,Isle of Anglesey 002,25_34,2,254
W02000002,2021,Isle of Anglesey 002,35_49,2,425
W02000002,2021,Isle of Anglesey 002,50_64,2,770
W02000002,2021,Isle of Anglesey 002,65_plus,2,1122
W02000002,2023,Isle of Anglesey 002,16_24,1,206
W02000002,2023,Isle of Anglesey 002,25_34,1,210
W02000002,2023,Isle of Anglesey 002,35_49,1,427
W02000002,2023,Isle of Anglesey 002,50_64,1,754
W02000002,2023,Isle of Anglesey 002,65_plus,1,1007
W02000002,2023,Isle of Anglesey 002,16_24,2,220
W02000002,2023,Isle of Anglesey 002,25_34,2,289
W02000002,2023,Isle of Anglesey 002,35_49,2,413
W02000002,2023,Isle of Anglesey 002,50_64,2,796
W02000002,2023,Isle of Anglesey 002,65_plus,2,1140
W02000002,2025,Isle of Anglesey 002,16_24,1,197
W02000002,2025,Isle of Anglesey 002,25_34,1,214
W02000002,2025,Isle of Anglesey 002,35_49,1,435
W02000002,2025,Isle of Anglesey 002,50_64,1,727
W02000002,2025,Isle of Anglesey 002,65_plus,1,1039
W02000002,2025,Isle of Anglesey 002,16_24,2,241
W02000002,2025,Isle of Anglesey 002,25_34,2,263
W02000002,2025,Isle of Anglesey 002,35_49,2,451
W02000002,2025,Isle of Anglesey 002,50_64,2,814
W02000002,2025,Isle of Anglesey 002,65_plus,2,1146
W02000003,2021,Isle of Anglesey 003,16_24,1,582
W02000003,2021,Isle of Anglesey 003,25_34,1,667
W02000003,2021,Isle of Anglesey 003,35_49,1,945
W02000003,2021,Isle of Anglesey 003,50_64,1,974
W02000003,2021,Isle of Anglesey 003,65_plus,1,928
W02000003,2021,Isle of Anglesey 003,16_24,2,634
W02000003,2021,Isle of Anglesey 003,25_34,2,695
W02000003,2021,Isle of Anglesey 003,35_49,2,1038
W02000003,2021,Isle of Anglesey 003,50_64,2,1047
W02000003,2021,Isle of Anglesey 003,65_plus,2,1052
W02000003,2023,Isle of Anglesey 003,16_24,1,643
W02000003,2023,Isle of Anglesey 003,25_34,1,654
W02000003,2023,Isle of Anglesey 003,35_49,1,954
W02000003,2023,Isle of Anglesey 003,50_64,1,1006
W02000003,2023,Isle of Anglesey 003,65_plus,1,925
W02000003,2023,Isle of Anglesey 003,16_24,2,597
W02000003,2023,Isle of Anglesey 003,25_34,2,691
W02000003,2023,Isle of Anglesey 003,35_49,2,1012
W02000003,2023,Isle of Anglesey 003,50_64,2,1123
W02000003,2023,Isle of Anglesey 003,65_plus,2,1032
W02000003,2025,Isle of Anglesey 003,16_24,1,654
W02000003,2025,Isle of Anglesey 003,25_34,1,625
W02000003,2025,Isle of Anglesey 003,35_49,1,931
W02000003,2025,Isle of Anglesey 003,50_64,1,1042
W02000003,2025,Isle of Anglesey 003,65_plus,1,933
W02000003,2025,Isle of Anglesey 003,16_24,2,626
W02000003,2025,Isle of Anglesey 003,25_34,2,677
W02000003,2025,Isle of Anglesey 003,35_49,2,997
W02000003,2025,Isle of Anglesey 003,50_64,2,1143
W02000003,2025,Isle of Anglesey 003,65_plus,2,1052
W02000004,2021,Isle of Anglesey 004,16_24,1,339
W02000004,2021,Isle of Anglesey 004,25_34,1,325
W02000004,2021,Isle of Anglesey 004,35_49,1,523
W02000004,2021,Isle of Anglesey 004,50_64,1,839
W02000004,2021,Isle of Anglesey 004,65_plus,1,1007
W02000004,2021,Isle of Anglesey 004,16_24,2,328
W02000004,2021,Isle of Anglesey 004,25_34,2,274
W02000004,2021,Isle of Anglesey 004,35_49,2,601
W02000004,2021,Isle of Anglesey 004,50_64,2,875
W02000004,2021,Isle of Anglesey 004,65_plus,2,1163
W02000004,2023,Isle of Anglesey 004,16_24,1,367
W02000004,2023,Isle of Anglesey 004,25_34,1,325
W02000004,2023,Isle of Anglesey 004,35_49,1,498
W02000004,2023,Isle of Anglesey 004,50_64,1,860
W02000004,2023,Isle of Anglesey 004,65_plus,1,1033
W02000004,2023,Isle of Anglesey 004,16_24,2,313
W02000004,2023,Isle of Anglesey 004,25_34,2,297
W02000004,2023,Isle of Anglesey 004,35_49,2,586
W02000004,2023,Isle of Anglesey 004,50_64,2,886
W02000004,2023,Isle of Anglesey 004,65_plus,2,1188
W02000004,2025,Isle of Anglesey 004,16_24,1,373
W02000004,2025,Isle of Anglesey 004,25_34,1,342
W02000004,2025,Isle of Anglesey 004,35_49,1,509
W02000004,2025,Isle of Anglesey 004,50_64,1,854
W02000004,2025,Isle of Anglesey 004,65_plus,1,1070
W02000004,2025,Isle of Anglesey 004,16_24,2,298
W02000004,2025,Isle of Anglesey 004,25_34,2,301
W02000004,2025,Isle of Anglesey 004,35_49,2,574
W02000004,2025,Isle of Anglesey 004,50_64,2,881
W02000004,2025,Isle of Anglesey 004,65_plus,2,1225
W02000005,2021,Isle of Anglesey 005,16_24,1,343
W02000005,2021,Isle of Anglesey 005,25_34,1,351
