unit_id,time_id,case_no,survey_year,survey_month,dvla_code,raw_la_code,strata,area_id,msoa_name,synthetic_msoa_assignment_method,synthetic_msoa_seed,sex,age,age_source,synthetic_age_seed,age_group_3_code,age_group_5_code,age_group_7_code,working_age_code,pension_age_code,econ_status_3_code,econ_status_code,education_code,highest_qualification_code,tenure_code,tenure_group_code,CarUse,caraccess,num_people,num_adult,num_child,urban_rural_code,urban_rural_com_code,wimd_overall_quintile_code,raw_atfrqbke,sample_adult_weight,sample_travel_weight,freq_cyclist_weight,freq_cyclist_weight_source,freq_cyclist,freq_cyclist_source
202100001,2021,202100001,2021,3,1,W06000001,W06000001,W02000007,Isle of Anglesey 007,uniform_random_within_la,20260623,2,69.0,observed_exact_age,,3,4,,2,1,,,,5,1,1,1,1,2,2,0,2,4,3,5,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100002,2021,202100002,2021,3,1,W06000001,W06000001,W02000006,Isle of Anglesey 006,uniform_random_within_la,20260623,2,66.0,observed_exact_age,,3,4,,2,1,,,,5,2,2,1,1,2,2,0,2,2,3,5,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100003,2021,202100003,2021,3,1,W06000001,W06000001,W02000002,Isle of Anglesey 002,uniform_random_within_la,20260623,2,67.0,observed_exact_age,,3,4,,2,1,,,,2,1,1,1,1,2,2,0,2,2,3,5,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100004,2021,202100004,2021,3,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,1,52.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,1,1,0,2,4,3,4,0.472831174848253,,0.472831174848253,sample_adult_weight_wave_fallback,0.0,observed
202100005,2021,202100005,2021,3,1,W06000001,W06000001,W02000002,Isle of Anglesey 002,uniform_random_within_la,20260623,2,81.0,observed_exact_age,,3,5,,2,1,,,,3,2,2,2,0,1,1,0,2,2,3,5,0.382013382311527,,0.382013382311527,sample_adult_weight_wave_fallback,0.0,observed
202100006,2021,202100006,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,71.0,observed_exact_age,,3,4,,2,1,,,,5,1,1,1,1,2,2,0,2,2,2,5,0.563562301416068,,0.563562301416068,sample_adult_weight_wave_fallback,0.0,observed
202100007,2021,202100007,2021,3,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,2,53.0,observed_exact_age,,2,3,,1,0,,,,3,1,1,1,1,2,2,0,2,2,2,5,0.689919031597619,,0.689919031597619,sample_adult_weight_wave_fallback,0.0,observed
202100008,2021,202100008,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,80.0,observed_exact_age,,3,5,,2,1,,,,3,1,1,1,1,2,2,0,2,4,3,5,0.606707194740879,,0.606707194740879,sample_adult_weight_wave_fallback,0.0,observed
202100009,2021,202100009,2021,3,1,W06000001,W06000001,W02000005,Isle of Anglesey 005,uniform_random_within_la,20260623,1,63.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,1,1,0,2,4,3,5,0.322552863109857,,0.322552863109857,sample_adult_weight_wave_fallback,0.0,observed
202100010,2021,202100010,2021,3,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,2,67.0,observed_exact_age,,3,4,,2,1,,,,5,2,2,1,1,2,2,0,2,4,3,5,0.703357696172427,,0.703357696172427,sample_adult_weight_wave_fallback,0.0,observed
202100011,2021,202100011,2021,3,1,W06000001,W06000001,W02000002,Isle of Anglesey 002,uniform_random_within_la,20260623,1,51.0,observed_exact_age,,2,3,,1,0,,,,5,1,1,1,1,6,6,0,2,4,4,5,2.36415587424126,,2.36415587424126,sample_adult_weight_wave_fallback,0.0,observed
202100012,2021,202100012,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,1,78.0,observed_exact_age,,3,5,,2,1,,,,1,1,1,1,1,2,2,0,2,2,3,5,0.606707194740879,,0.606707194740879,sample_adult_weight_wave_fallback,0.0,observed
202100013,2021,202100013,2021,3,1,W06000001,W06000001,W02000009,Isle of Anglesey 009,uniform_random_within_la,20260623,1,62.0,observed_exact_age,,2,3,,1,0,,,,1,1,1,1,1,1,1,0,2,2,3,5,0.322552863109857,,0.322552863109857,sample_adult_weight_wave_fallback,0.0,observed
202100014,2021,202100014,2021,3,1,W06000001,W06000001,W02000003,Isle of Anglesey 003,uniform_random_within_la,20260623,1,69.0,observed_exact_age,,3,4,,2,1,,,,1,1,1,1,1,2,2,0,2,2,3,5,0.717266790977486,,0.717266790977486,sample_adult_weight_wave_fallback,0.0,observed
202100015,2021,202100015,2021,3,1,W06000001,W06000001,W02000004,Isle of Anglesey 004,uniform_random_within_la,20260623,2,32.0,observed_exact_age,,1,2,,1,0,,,,1,5,-4,1,1,1,1,0,2,2,3,5,0.461962854634474,,0.461962854634474,sample_adult_weight_wave_fallback,0.0,observed
