unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100001,2021,W02000007,W06000001,0.0,0.703357696172427,2,69.0,1
202100002,2021,W02000006,W06000001,0.0,0.703357696172427,2,66.0,1
202100003,2021,W02000002,W06000001,0.0,0.703357696172427,2,67.0,1
202100004,2021,W02000003,W06000001,0.0,0.472831174848253,1,52.0,1
202100005,2021,W02000002,W06000001,0.0,0.382013382311527,2,81.0,0
202100006,2021,W02000004,W06000001,0.0,0.563562301416068,1,71.0,1
202100007,2021,W02000003,W06000001,0.0,0.689919031597619,2,53.0,1
202100008,2021,W02000004,W06000001,0.0,0.606707194740879,1,80.0,1
202100009,2021,W02000005,W06000001,0.0,0.322552863109857,1,63.0,1
202100010,2021,W02000003,W06000001,0.0,0.703357696172427,2,67.0,1
202100011,2021,W02000002,W06000001,0.0,2.36415587424126,1,51.0,1
202100012,2021,W02000004,W06000001,0.0,0.606707194740879,1,78.0,1
202100013,2021,W02000009,W06000001,0.0,0.322552863109857,1,62.0,1
202100014,2021,W02000003,W06000001,0.0,0.717266790977486,1,69.0,1
202100015,2021,W02000004,W06000001,0.0,0.461962854634474,2,32.0,1
202100016,2021,W02000005,W06000001,0.0,0.303353597370439,1,92.0,1
202100017,2021,W02000006,W06000001,0.0,0.333899133484417,2,71.0,1
202100018,2021,W02000006,W06000001,0.0,0.376614369781928,2,45.0,1
202100019,2021,W02000004,W06000001,0.0,0.472831174848253,1,53.0,1
202100020,2021,W02000008,W06000001,0.0,0.753228739563856,2,45.0,1
202100021,2021,W02000009,W06000001,0.0,1.17815484564607,1,33.0,1
202100022,2021,W02000009,W06000001,0.0,0.645105726219713,1,64.0,1
202100023,2021,W02000006,W06000001,0.0,0.573082155633089,1,36.0,1
202100024,2021,W02000008,W06000001,0.0,0.563562301416068,1,74.0,1
202100025,2021,W02000009,W06000001,0.0,0.333899133484417,2,71.0,1
202100026,2021,W02000008,W06000001,0.0,0.606707194740879,1,80.0,1
202100027,2021,W02000009,W06000001,0.0,0.472831174848253,1,51.0,0
202100028,2021,W02000004,W06000001,0.0,0.945662349696505,1,54.0,1
202100029,2021,W02000006,W06000001,0.0,0.872690843682574,2,37.0,1
202100030,2021,W02000005,W06000001,0.0,0.34495951579881,2,53.0,1
202100031,2021,W02000005,W06000001,0.0,0.563562301416068,1,70.0,1
202100032,2021,W02000008,W06000001,0.0,1.29021145243943,1,63.0,1
202100033,2021,W02000003,W06000001,0.0,0.382013382311527,2,76.0,1
202100034,2021,W02000004,W06000001,0.0,0.872690843682574,2,36.0,1
202100035,2021,W02000005,W06000001,0.0,0.34495951579881,2,54.0,0
202100036,2021,W02000004,W06000001,0.0,0.303353597370439,1,76.0,1
202100037,2021,W02000003,W06000001,0.0,0.645105726219713,1,61.0,1
202100038,2021,W02000003,W06000001,0.0,0.573082155633089,1,37.0,0
202100039,2021,W02000005,W06000001,0.0,0.606707194740879,1,84.0,1
202100040,2021,W02000008,W06000001,0.0,0.472831174848253,1,52.0,1
202100041,2021,W02000007,W06000001,0.0,0.667798266968833,2,74.0,1
202100042,2021,W02000001,W06000001,0.0,1.10327379715028,1,47.0,1
202100043,2021,W02000005,W06000001,0.0,0.324544943361791,2,62.0,0
202100044,2021,W02000006,W06000001,0.0,0.55163689857514,1,49.0,1
202100045,2021,W02000005,W06000001,0.0,0.764026764623054,2,80.0,1
202100046,2021,W02000005,W06000001,0.0,0.351678848086213,2,69.0,1
202100047,2021,W02000009,W06000001,0.0,0.358633395488743,1,69.0,1
202100048,2021,W02000003,W06000001,0.0,0.485456505776178,1,42.0,0
202100049,2021,W02000004,W06000001,0.0,0.351678848086213,2,68.0,0
202100050,2021,W02000006,W06000001,0.0,0.753228739563856,2,47.0,1
202100051,2021,W02000008,W06000001,0.0,0.382013382311527,2,81.0,0
202100052,2021,W02000001,W06000001,0.0,0.358633395488743,1,68.0,1
202100053,2021,W02000002,W06000001,0.0,1.71924646689927,1,36.0,1
202100054,2021,W02000005,W06000001,0.0,0.753228739563856,2,46.0,1
202100055,2021,W02000002,W06000001,0.0,0.945662349696505,1,51.0,1
202100056,2021,W02000007,W06000001,0.0,0.780714274385786,1,56.0,1
202100057,2021,W02000004,W06000001,0.0,0.667798266968833,2,74.0,1
202100058,2021,W02000006,W06000001,0.0,0.324544943361791,2,63.0,1
202100059,2021,W02000005,W06000001,0.0,0.563562301416068,1,74.0,1
202100060,2021,W02000004,W06000001,0.0,0.764026764623054,2,91.0,1
202100061,2021,W02000006,W06000001,0.0,0.703357696172427,2,69.0,1
202100062,2021,W02000009,W06000001,0.0,1.17107141157868,1,58.0,1
202100063,2021,W02000001,W06000001,0.0,0.753228739563856,2,46.0,1
202100064,2021,W02000006,W06000001,0.0,0.764026764623054,2,83.0,1
202100065,2021,W02000005,W06000001,0.0,0.667798266968833,2,73.0,1
202100066,2021,W02000003,W06000001,0.0,0.703357696172427,2,66.0,1
202100067,2021,W02000006,W06000001,0.0,0.382013382311527,2,84.0,0
202100068,2021,W02000002,W06000001,0.0,1.03487854739643,2,50.0,1
202100069,2021,W02000009,W06000001,0.0,0.703357696172427,2,69.0,1
202100070,2021,W02000007,W06000001,0.0,0.645105726219713,1,63.0,1
202100071,2021,W02000009,W06000001,0.0,1.10327379715028,1,46.0,1
202100072,2021,W02000001,W06000001,0.0,0.382013382311527,2,85.0,0
