domain_id,domain_size,work_from_home,commuter_total
W02000001,3430,714,2716
W02000002,2596,804,1792
W02000003,4205,512,3693
W02000004,3079,726,2353
W02000005,3340,961,2379
W02000006,3119,543,2576
W02000007,3141,708,2433
W02000008,2646,634,2012
W02000009,3642,971,2671
W02000010,2552,548,2004
W02000011,3686,686,3000
W02000012,3980,935,3045
W02000013,3187,797,2390
W02000014,3351,817,2534
W02000015,3693,715,2978
W02000016,3019,743,2276
W02000017,3412,775,2637
W02000018,2728,521,2207
W02000019,2851,639,2212
W02000020,2912,716,2196
W02000021,3458,717,2741
W02000022,2313,588,1725
W02000023,2388,803,1585
W02000024,2792,881,1911
W02000025,2706,659,2047
W02000026,2784,718,2066
W02000027,3433,868,2565
W02000028,2514,400,2114
W02000029,2534,561,1973
W02000030,2152,523,1629
W02000031,3162,470,2692
W02000032,3610,849,2761
W02000033,2818,525,2293
W02000034,3426,937,2489
W02000035,3824,792,3032
W02000036,4223,783,3440
W02000037,3357,620,2737
W02000038,2753,802,1951
W02000039,3473,964,2509
W02000040,3340,1142,2198
W02000041,4109,1146,2963
W02000042,2304,388,1916
W02000043,2103,422,1681
W02000044,2173,383,1790
W02000045,3134,423,2711
W02000047,2024,185,1839
W02000049,3028,737,2291
W02000050,2926,493,2433
W02000051,2341,621,1720
W02000052,2055,341,1714
W02000053,3076,756,2320
W02000054,2909,1040,1869
W02000055,2541,530,2011
W02000056,2489,766,1723
W02000057,2841,757,2084
W02000058,2177,432,1745
W02000059,3026,678,2348
W02000060,4708,613,4095
W02000061,3483,477,3006
W02000062,3064,578,2486
W02000063,3921,1239,2682
W02000064,2818,333,2485
W02000065,3764,687,3077
W02000066,4595,645,3950
W02000067,3388,883,2505
W02000068,2558,425,2133
W02000069,3024,902,2122
W02000070,5260,1600,3660
W02000071,3331,761,2570
W02000072,5952,1317,4635
W02000073,4498,1062,3436
W02000074,4722,977,3745
W02000075,3250,1059,2191
W02000076,3407,916,2491
W02000077,2887,688,2199
W02000080,3703,585,3118
W02000081,2624,443,2181
W02000082,3730,583,3147
W02000083,4265,722,3543
W02000085,4117,706,3411
W02000087,2457,173,2284
W02000088,4453,670,3783
W02000089,3971,387,3584
W02000090,2527,436,2091
W02000091,2951,454,2497
W02000092,2968,388,2580
W02000093,3216,740,2476
W02000094,3756,552,3204
W02000095,3058,1035,2023
W02000096,3013,592,2421
W02000097,4406,1578,2828
W02000098,3111,893,2218
W02000099,3029,517,2512
W02000100,2963,1073,1890
W02000101,2717,783,1934
W02000102,3014,1007,2007
W02000103,2875,887,1988
W02000104,2858,519,2339
W02000105,2210,266,1944
W02000106,3088,968,2120
W02000107,4475,1424,3051
W02000108,3132,1049,2083
W02000109,2237,594,1643
W02000110,3243,1190,2053
W02000111,4081,1519,2562
W02000113,3785,942,2843
W02000114,3075,1194,1881
W02000116,3444,1143,2301
W02000117,2982,899,2083
W02000118,2739,668,2071
W02000120,3172,1043,2129
W02000122,2719,1054,1665
W02000123,3261,952,2309
W02000124,3383,899,2484
W02000125,3151,1019,2132
W02000126,3782,1277,2505
W02000127,3934,1114,2820
W02000128,3385,1117,2268
W02000129,3330,1030,2300
W02000130,2909,440,2469
W02000131,3130,441,2689
W02000132,3178,953,2225
W02000133,3664,1053,2611
W02000134,3610,668,2942
W02000135,2917,375,2542
W02000136,3385,862,2523
W02000137,3093,362,2731
W02000138,3965,487,3478
W02000139,3234,860,2374
W02000140,2862,583,2279
W02000141,2387,558,1829
W02000142,2510,599,1911
W02000143,2484,922,1562
W02000144,3359,1173,2186
