method,component,area_id,area_inla_id,effect,lower,upper
BHF,Structured,W02000001,1,-5.995039295362584e-4,-0.016905112121972012,0.015248635349350828
BHF,Structured,W02000002,2,-0.004492405704272273,-0.021502769976379163,0.010860694561039514
BHF,Structured,W02000003,3,0.012690299430532131,-0.01552096813414752,0.0439529138916669
BHF,Structured,W02000004,4,0.0075630281251228134,-0.010506284565108964,0.027925361996636748
BHF,Structured,W02000005,5,-0.006972003369762524,-0.027227443030915902,0.011113898693975999
BHF,Structured,W02000006,6,-0.0010886633711851604,-0.0170319341748699,0.0145725327845866
BHF,Structured,W02000007,7,0.0031573253079527916,-0.012080083477971409,0.019843572634321287
BHF,Structured,W02000008,8,-0.007409585420002132,-0.031205439274642165,0.014163161948397496
BHF,Structured,W02000009,9,-0.002849302139163878,-0.01781071348759968,0.011362881171809818
BHF,Structured,W02000010,10,-0.006647876064809106,-0.03372893540440841,0.018715373514155333
BHF,Structured,W02000011,11,-0.0043730179482392864,-0.02308022785880084,0.013525140048862395
BHF,Structured,W02000012,12,-0.004159929634832507,-0.01993515115397603,0.01079204743156819
BHF,Structured,W02000013,13,-0.0029850068838636703,-0.021633286686530234,0.015299251542722717
BHF,Structured,W02000014,14,-0.0029255372093358557,-0.017148308116859273,0.010964507834051604
BHF,Structured,W02000015,15,-0.004141872278635481,-0.02574228877595166,0.01655449578991594
BHF,Structured,W02000016,16,-0.0038076604536351946,-0.020139904503563778,0.011792411811905355
BHF,Structured,W02000017,17,-0.002881381594965522,-0.020585484912540284,0.014453814279347135
BHF,Structured,W02000018,18,-0.002389472414228088,-0.016050237463091345,0.010727406719997352
BHF,Structured,W02000019,19,-0.0035343985850579906,-0.01710842082744945,0.009350319557847847
BHF,Structured,W02000020,20,-0.0020754828991636195,-0.020298787217619726,0.016176923851670244
BHF,Structured,W02000021,21,-0.00349683695086866,-0.02783936334067181,0.020436857050896942
BHF,Structured,W02000022,22,-0.0037112569898161973,-0.020468507234586073,0.011915671540479948
BHF,Structured,W02000023,23,-0.0057035600715085325,-0.03608454446726141,0.023451316073895542
