area_id,time_id,area_inla_id,time_inla_id,msoa_name,direct_estimate,variance,n
W02000001,2021,1,1,Isle of Anglesey 001,0,0,6
W02000001,2023,1,2,Isle of Anglesey 001,0,0,9
W02000001,2025,1,3,Isle of Anglesey 001,0,0,22
W02000002,2021,2,1,Isle of Anglesey 002,0,0,9
W02000002,2023,2,2,Isle of Anglesey 002,0,0,8
W02000002,2025,2,3,Isle of Anglesey 002,0,0,26
W02000003,2021,3,1,Isle of Anglesey 003,0,0,11
W02000003,2023,3,2,Isle of Anglesey 003,0,0,3
W02000003,2025,3,3,Isle of Anglesey 003,0.1576977619503072,0.014796678572627526,24
W02000004,2021,4,1,Isle of Anglesey 004,0,0,14
W02000004,2023,4,2,Isle of Anglesey 004,0.048931468589798875,0.0024044959987893797,12
W02000004,2025,4,3,Isle of Anglesey 004,0.03565226194151003,0.0012772178534268866,24
W02000005,2021,5,1,Isle of Anglesey 005,0,0,17
W02000005,2023,5,2,Isle of Anglesey 005,0,0,10
W02000005,2025,5,3,Isle of Anglesey 005,0,0,20
W02000006,2021,6,1,Isle of Anglesey 006,0,0,19
W02000006,2023,6,2,Isle of Anglesey 006,0,0,5
W02000006,2025,6,3,Isle of Anglesey 006,0.01865654196428784,3.551690178231869e-4,28
W02000007,2021,7,1,Isle of Anglesey 007,0,0,13
W02000007,2023,7,2,Isle of Anglesey 007,0,0,5
W02000007,2025,7,3,Isle of Anglesey 007,0.10934196997178637,0.006186841261970337,25
W02000008,2021,8,1,Isle of Anglesey 008,0,0,12
W02000008,2023,8,2,Isle of Anglesey 008,0,0,9
W02000008,2025,8,3,Isle of Anglesey 008,0,0,18
W02000009,2021,9,1,Isle of Anglesey 009,0,0,13
W02000009,2023,9,2,Isle of Anglesey 009,0,0,10
W02000009,2025,9,3,Isle of Anglesey 009,0.04679943133444532,0.0021035936462723472,27
W02000010,2021,10,1,Gwynedd 001,0,0,13
W02000010,2023,10,2,Gwynedd 001,0,0,3
W02000010,2025,10,3,Gwynedd 001,0,0,14
W02000011,2021,11,1,Gwynedd 002,0.06640822203588503,0.004164320345244197,18
W02000011,2023,11,2,Gwynedd 002,0,0,7
W02000011,2025,11,3,Gwynedd 002,0,0,17
W02000012,2021,12,1,Gwynedd 003,0,0,13
W02000012,2023,12,2,Gwynedd 003,0,0,5
W02000012,2025,12,3,Gwynedd 003,0.09898799288222276,0.008675300184799254,15
W02000013,2021,13,1,Gwynedd 004,0,0,15
W02000013,2023,13,2,Gwynedd 004,0.13431375915071417,0.016015059992155724,7
W02000013,2025,13,3,Gwynedd 004,0,0,8
W02000014,2021,14,1,Gwynedd 005,0,0,5
W02000014,2023,14,2,Gwynedd 005,0.5818200192669616,0.05269835006499748,6
W02000014,2025,14,3,Gwynedd 005,0,0,17
W02000015,2021,15,1,Gwynedd 006,0,0,14
W02000015,2023,15,2,Gwynedd 006,0,0,3
W02000015,2025,15,3,Gwynedd 006,0,0,8
W02000016,2021,16,1,Gwynedd 007,0,0,4
W02000016,2023,16,2,Gwynedd 007,0,0,4
W02000016,2025,16,3,Gwynedd 007,0,0,15
W02000017,2021,17,1,Gwynedd 008,0,0,7
W02000017,2023,17,2,Gwynedd 008,0,0,3
W02000017,2025,17,3,Gwynedd 008,0.12546370357599285,0.013166203610465636,18
W02000018,2021,18,1,Gwynedd 009,0,0,9
W02000018,2023,18,2,Gwynedd 009,0,0,3
W02000018,2025,18,3,Gwynedd 009,0.011321691227063543,1.333721678796013e-4,25
W02000019,2021,19,1,Gwynedd 010,0,0,9
W02000019,2023,19,2,Gwynedd 010,0,0,5
W02000019,2025,19,3,Gwynedd 010,0,0,21
W02000020,2021,20,1,Gwynedd 011,0,0,10
W02000020,2023,20,2,Gwynedd 011,0.1307567077994757,0.014914416634036528,9
W02000020,2025,20,3,Gwynedd 011,0.04945886707352073,0.002434542675407741,19
W02000021,2021,21,1,Gwynedd 012,0,0,15
W02000021,2023,21,2,Gwynedd 012,0,0,3
W02000021,2025,21,3,Gwynedd 012,0.09203686089221455,0.007767632246834727,16
W02000022,2021,22,1,Gwynedd 013,0,0,15
W02000022,2023,22,2,Gwynedd 013,0,0,3
W02000022,2025,22,3,Gwynedd 013,0,0,21
W02000023,2021,23,1,Gwynedd 014,0,0,13
W02000023,2023,23,2,Gwynedd 014,0,0,5
W02000023,2025,23,3,Gwynedd 014,0,0,10
W02000024,2021,24,1,Gwynedd 015,0,0,6
W02000024,2023,24,2,Gwynedd 015,0.28219344278269015,0.051933890189645185,5
W02000024,2025,24,3,Gwynedd 015,0,0,10
W02000025,2021,25,1,Gwynedd 016,0,0,12
W02000025,2023,25,2,Gwynedd 016,0,0,1
W02000025,2025,25,3,Gwynedd 016,0,0,13
W02000026,2021,26,1,Gwynedd 017,0,0,11
W02000026,2023,26,2,Gwynedd 017,0.19482381326941728,0.0315583586884566,5
W02000026,2025,26,3,Gwynedd 017,0,0,14
W02000027,2021,27,1,Conwy 001,0,0,6
W02000027,2023,27,2,Conwy 001,0,0,6
W02000027,2025,27,3,Conwy 001,0,0,14
W02000028,2021,28,1,Conwy 002,0,0,11
W02000028,2023,28,2,Conwy 002,NA,NA,0
W02000028,2025,28,3,Conwy 002,0,0,20
W02000029,2021,29,1,Conwy 003,0,0,13
W02000029,2023,29,2,Conwy 003,0,0,4
W02000029,2025,29,3,Conwy 003,0,0,16
W02000030,2021,30,1,Conwy 004,0,0,9
W02000030,2023,30,2,Conwy 004,0,0,5
W02000030,2025,30,3,Conwy 004,0,0,16
W02000031,2021,31,1,Conwy 005,0,0,10
W02000031,2023,31,2,Conwy 005,0,0,2
W02000031,2025,31,3,Conwy 005,0,0,14
W02000032,2021,32,1,Conwy 006,0,0,9
W02000032,2023,32,2,Conwy 006,0,0,4
W02000032,2025,32,3,Conwy 006,0,0,13
W02000033,2021,33,1,Conwy 007,0,0,12
W02000033,2023,33,2,Conwy 007,0.1406253109684947,0.018146087499539422,8
W02000033,2025,33,3,Conwy 007,0,0,23
W02000034,2021,34,1,Conwy 008,0.149516090326129,0.01838943055667969,9
W02000034,2023,34,2,Conwy 008,0.07557723804459467,0.006030498902676428,7
W02000034,2025,34,3,Conwy 008,0,0,17
W02000035,2021,35,1,Conwy 009,0,0,8
W02000035,2023,35,2,Conwy 009,0,0,3
W02000035,2025,35,3,Conwy 009,0,0,20
W02000036,2021,36,1,Conwy 010,0,0,9
W02000036,2023,36,2,Conwy 010,0,0,5
W02000036,2025,36,3,Conwy 010,0.016406394802594895,2.7459418566514696e-4,25
W02000037,2021,37,1,Conwy 011,0,0,8
W02000037,2023,37,2,Conwy 011,0,0,2
