method,component,area_id,area_inla_id,effect,lower,upper
FH,Structured,W02000001,1,-2.4591495554903895e-4,-0.012143687987939336,0.011344513327349998
FH,Structured,W02000002,2,-5.458803877214549e-4,-0.012764553117004737,0.011047429577430459
FH,Structured,W02000003,3,0.0021267398500016974,-0.0218906790033931,0.028572034642626948
FH,Structured,W02000004,4,8.86987311730153e-4,-0.013160375655277841,0.015826999074524242
FH,Structured,W02000005,5,-2.381304873666447e-4,-0.01519285051167746,0.014482446499120293
FH,Structured,W02000006,6,-0.0016725939132034642,-0.013921630091968307,0.008735190608609696
FH,Structured,W02000007,7,1.1265393989103458e-4,-0.011354072453244832,0.011719051794600047
FH,Structured,W02000008,8,-1.4076052206445978e-4,-0.018019389190530134,0.01762607145499571
FH,Structured,W02000009,9,-2.8356994534262304e-4,-0.011332509386430772,0.01046350314955077
FH,Structured,W02000010,10,-0.0038884223637744427,-0.02706268708705222,0.01716642997271961
FH,Structured,W02000011,11,-0.0037908243729956755,-0.021102417899147522,0.011630732773655629
FH,Structured,W02000012,12,-0.0038236232003518436,-0.018744462696605367,0.009237175470313662
FH,Structured,W02000013,13,-0.0036826484681975855,-0.020782549360724233,0.011625175496062255
FH,Structured,W02000014,14,-0.0037693387710292766,-0.017920273491623555,0.00861743216187241
FH,Structured,W02000015,15,-0.0037551155433696625,-0.022655049099850045,0.013224171411085416
FH,Structured,W02000016,16,-0.003767307129243303,-0.019223308744300834,0.009865408813638621
FH,Structured,W02000017,17,-0.003566331821597652,-0.0198289315237327,0.011055254152210725
FH,Structured,W02000018,18,-0.005188185456426583,-0.01814057244116432,0.005055115256418002
FH,Structured,W02000019,19,-0.0040071094987281924,-0.017465753843823043,0.0075136635188320896
FH,Structured,W02000020,20,-0.003251540536501152,-0.02028409132554023,0.012466577712036714
FH,Structured,W02000021,21,-0.0029378111753066575,-0.02532345966177008,0.018417802158692584
FH,Structured,W02000022,22,-0.0044204430045478695,-0.01927345013895776,0.007921390897280098
FH,Structured,W02000023,23,-0.002988267553483122,-0.029975217187078886,0.02288532743844219
FH,Structured,W02000024,24,-0.003442712382316348,-0.013526235339426434,0.0051143308096162216
FH,Structured,W02000025,25,-0.004022339343914586,-0.017254994563450022,0.006994609151176098
FH,Structured,W02000026,26,-0.002988471223892817,-0.01574780811374898,0.00822190440869864
FH,Structured,W02000027,27,-0.004340738013815417,-0.02955632713687562,0.018287777200016772
FH,Structured,W02000028,28,-0.004292704110539234,-0.024257965213349195,0.013232082872170845
FH,Structured,W02000029,29,-0.004249490313923545,-0.02140855829742902,0.010607657182337422
FH,Structured,W02000030,30,-0.0042246921919629815,-0.022820621191477947,0.012074970710053545
FH,Structured,W02000031,31,-0.005185556558836266,-0.022240453483022775,0.009011770822895324
FH,Structured,W02000032,32,-0.00425627571022577,-0.022182880147947212,0.011324127082210478
FH,Structured,W02000033,33,-0.004160362739090986,-0.02041814374906608,0.009986599701782804
FH,Structured,W02000034,34,-0.00409498226511264,-0.018327461962961953,0.008182101360294503
FH,Structured,W02000035,35,-0.004396470215430505,-0.01866109171156969,0.007687133820756906
FH,Structured,W02000036,36,-0.005067414321647875,-0.018905399499418683,0.006328802571803817
FH,Structured,W02000037,37,-0.004181088142719052,-0.01813253611195484,0.0076887079577462976
FH,Structured,W02000038,38,-0.003940957207144934,-0.020232166678548057,0.010295037309704942
FH,Structured,W02000039,39,-0.003909178647251623,-0.022245825714285898,0.012343168551706456
FH,Structured,W02000040,40,-0.004206234718708772,-0.015377942600796262,0.0051686556612884635
FH,Structured,W02000041,41,-0.004039333586638013,-0.016052386115731638,0.00610149919253903
FH,Structured,W02000042,42,-0.007346538705591617,-0.024383700929678807,0.006382155092672014
FH,Structured,W02000043,43,-0.00524946954789671,-0.02136981561521466,0.00848302735219391
FH,Structured,W02000044,44,-0.004627813766638819,-0.020341061554481794,0.009006524171789546
FH,Structured,W02000045,45,-0.006093105419531066,-0.022866651632266033,0.007475953932209876
FH,Structured,W02000047,46,-0.00547323326059583,-0.02392495818886651,0.009871041093187212
FH,Structured,W02000049,47,-0.004430369827323954,-0.017020515186778523,0.006318777779289433
FH,Structured,W02000050,48,-0.005255790622893981,-0.019027197732188406,0.006002912238485412
FH,Structured,W02000051,49,-0.0048595707754644545,-0.017446280968725827,0.005528939256280807
FH,Structured,W02000052,50,-0.00426357616404014,-0.018268323258214723,0.007695826745166272
FH,Structured,W02000053,51,-0.0040584132575187636,-0.016307384565533253,0.006406556793825522
FH,Structured,W02000054,52,-0.003690667687861662,-0.014523662530355315,0.0057552771363768825
FH,Structured,W02000055,53,-0.0032890305051512018,-0.01805556586046799,0.010172179299200971
FH,Structured,W02000056,54,-0.003604217458725891,-0.014920300934056082,0.006217912735782753
FH,Structured,W02000057,55,-0.0032110353545296406,-0.013977098989384845,0.006261887439706297
FH,Structured,W02000058,56,-0.004464478573931454,-0.019076638116159523,0.008253367056195723
FH,Structured,W02000059,57,-0.004269117625734816,-0.018185897546197656,0.007805993798044999
FH,Structured,W02000060,58,-0.00436170431623073,-0.019572730305210253,0.008796205843224617
FH,Structured,W02000061,59,-0.00410850523460605,-0.021262421969670632,0.01121342353127161
FH,Structured,W02000062,60,-0.0045924904426785885,-0.019234823558076392,0.00790770557016162
FH,Structured,W02000063,61,-0.004163126531598158,-0.01688624243960372,0.006816680734185215
FH,Structured,W02000064,62,-0.0040493514829420246,-0.023477508317745744,0.013490259184339652
FH,Structured,W02000065,63,-0.0039249454119148555,-0.02079685906637134,0.011240635626493748
FH,Structured,W02000066,64,-0.0038547834576194615,-0.020878304436116827,0.011482265368992807
FH,Structured,W02000067,65,-0.003939523229114889,-0.019502082508373316,0.009907486514251438
FH,Structured,W02000068,66,-0.003636092461252551,-0.020050374660342075,0.011297765166170488
FH,Structured,W02000069,67,-0.004137618052948025,-0.017541025560196766,0.007508088728837053
FH,Structured,W02000070,68,-0.00378277657921944,-0.017836989764602025,0.008738178720497692
FH,Structured,W02000071,69,-0.004352871852959722,-0.018503641213287098,0.007845218839173296
FH,Structured,W02000072,70,-0.0036256902133862015,-0.01938828721544856,0.010662770520517631
FH,Structured,W02000073,71,-0.004149549904274057,-0.018385483470352907,0.00822559144228072
FH,Structured,W02000074,72,-0.0039273697938546105,-0.017687974168761077,0.008183335652880295
FH,Structured,W02000075,73,-0.003668966976249764,-0.01669022688696455,0.007910007028734211
FH,Structured,W02000076,74,-0.0038895576764066036,-0.01633553664929298,0.006994806247330397
FH,Structured,W02000077,75,-0.0035154621916072856,-0.015466304491851584,0.00710320848749311
FH,Structured,W02000080,76,-0.003409729981892606,-0.019793194420022357,0.011550051824304098
FH,Structured,W02000081,77,-0.003471227746508831,-0.01859002433373938,0.010202845489859981
FH,Structured,W02000082,78,-0.0037012075860833747,-0.020134786488745986,0.0110406238900039
FH,Structured,W02000083,79,-0.0034620010786101025,-0.016651888553894646,0.008298873573669926
FH,Structured,W02000085,80,-0.003428117770355593,-0.020208699545649664,0.011896246484033018
FH,Structured,W02000087,81,-0.0026286066384846925,-0.022069180449329366,0.016198899370945517
FH,Structured,W02000088,82,-0.0033814378897337005,-0.018402432343064084,0.010178938693258855
FH,Structured,W02000089,83,-0.002698768055873852,-0.027274097805194627,0.021168964229913403
FH,Structured,W02000090,84,-0.003405064081255637,-0.015235330713450658,0.007072010995526969
FH,Structured,W02000091,85,-0.0033183282491081358,-0.01762232155642113,0.009613507552491568
FH,Structured,W02000092,86,-0.003386042206973235,-0.017302104039445668,0.009100356777275453
FH,Structured,W02000093,87,-0.0032960646648286704,-0.015472345663389337,0.007597303306100768
FH,Structured,W02000094,88,-0.003213149531461098,-0.016064302056050857,0.008293597533748491
