area_id,time_id,msoa_name,direct_estimate,variance,n
W02000001,2021,Isle of Anglesey 001,0,0,6
W02000001,2023,Isle of Anglesey 001,0.18565260641894785,0.0160569283101873,9
W02000001,2025,Isle of Anglesey 001,0.009399996144139368,9.325536415956077e-5,22
W02000002,2021,Isle of Anglesey 002,0.4319653664782163,0.04066522486314988,9
W02000002,2023,Isle of Anglesey 002,0.48853585090916113,0.033299062854545244,8
W02000002,2025,Isle of Anglesey 002,0.05118071695859134,0.0013595206030723634,26
W02000003,2021,Isle of Anglesey 003,0.1612312830188462,0.011598432175795998,11
W02000003,2023,Isle of Anglesey 003,0.5456427510644392,0.09405494524933898,3
W02000003,2025,Isle of Anglesey 003,0.08442708534476404,0.002230735617581461,24
W02000004,2021,Isle of Anglesey 004,0.13881811744044975,0.015570778484742384,14
W02000004,2023,Isle of Anglesey 004,0,0,11
W02000004,2025,Isle of Anglesey 004,0,0,24
W02000005,2021,Isle of Anglesey 005,0.2357800735403681,0.01570308073073289,17
W02000005,2023,Isle of Anglesey 005,0.4171105013713594,0.026007087364420218,10
W02000005,2025,Isle of Anglesey 005,0.06347735831144721,0.0037913998713160224,20
W02000006,2021,Isle of Anglesey 006,0.10088047765018358,0.005538272512658358,19
W02000006,2023,Isle of Anglesey 006,0,0,5
W02000006,2025,Isle of Anglesey 006,0.0929604922927978,0.002536991303191213,28
W02000007,2021,Isle of Anglesey 007,0.07130340702194102,0.004938236046288725,13
W02000007,2023,Isle of Anglesey 007,0.09184314433287606,0.00845292408699315,6
W02000007,2025,Isle of Anglesey 007,0.12266923897140668,0.00520240434255808,25
W02000008,2021,Isle of Anglesey 008,0.19842023274990855,0.012207883612728836,12
W02000008,2023,Isle of Anglesey 008,0.06211923226941231,0.0038653561831529563,9
W02000008,2025,Isle of Anglesey 008,0.07621454543800806,0.0029021318865278846,18
W02000009,2021,Isle of Anglesey 009,0,0,13
W02000009,2023,Isle of Anglesey 009,0,0,10
W02000009,2025,Isle of Anglesey 009,0.1991126105754353,0.007772683702584545,26
W02000010,2021,Gwynedd 001,0.09295304405275805,0.00810245734821603,12
W02000010,2023,Gwynedd 001,0.8613292132743351,0.021630780105897647,3
W02000010,2025,Gwynedd 001,0.11246581789895127,0.008527007687105603,14
W02000011,2021,Gwynedd 002,0.12433733047748037,0.005372190296463907,18
W02000011,2023,Gwynedd 002,0,0,7
W02000011,2025,Gwynedd 002,0.035670605364218226,6.96335312213858e-4,17
W02000012,2021,Gwynedd 003,0,0,13
W02000012,2023,Gwynedd 003,0.4428703168015301,0.05179742526544381,5
W02000012,2025,Gwynedd 003,0.09898799288222276,0.008675300184799254,15
W02000013,2021,Gwynedd 004,0.06754144696914653,0.004323957421111533,15
