area_id,time_id,msoa_name,direct_estimate,variance,n,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width,fh_std_resid
W02000001,2021,Isle of Anglesey 001,0,0,6,0.018791435763891143,1.4601674002196513e-4,-0.004931017778033824,0.04245987124180516,0.04739088901983898,-1.555101139756219
W02000002,2021,Isle of Anglesey 002,0.4319653664782163,0.04066522486314988,9,0.08955806695381738,8.220790504429467e-4,0.03327188972491307,0.14577013985369763,0.11249825012878456,1.6810684912329217
W02000003,2021,Isle of Anglesey 003,0.1612312830188462,0.01159843217579599,11,0.11006149957589781,0.0011223837961568566,0.044399491680965936,0.17589992491461406,0.13150043323364813,0.4536867481714322
W02000004,2021,Isle of Anglesey 004,0.13881811744044975,0.01557077848474238,14,0.09416338557048354,0.0018908788236840432,0.009110954689312792,0.18002334742298698,0.1709123927336742,0.3379284494398902
W02000005,2021,Isle of Anglesey 005,0.2357800735403681,0.01570308073073289,17,0.11181638282975852,0.0012474431912496888,0.042771242727095773,0.18141245849844273,0.13864121577134697,0.9521446568938823
W02000006,2021,Isle of Anglesey 006,0.10088047765018358,0.00553827251265835,19,0.09520000124244789,9.634959914338759e-4,0.034361826480366016,0.15617299045396416,0.12181116397359815,0.07044805534191906
W02000007,2021,Isle of Anglesey 007,0.07130340702194102,0.00493823604628872,13,0.08840289960047848,0.0010224207325743116,0.0257173913869002,0.15121105124620077,0.12549365985930055,-0.22148084172172913
W02000008,2021,Isle of Anglesey 008,0.19842023274990855,0.01220788361272883,12,0.08038249991500528,9.438695475748335e-4,0.020064847183540686,0.14060895185020642,0.12054410466666574,1.0292693367243073
W02000009,2021,Isle of Anglesey 009,0,0,13,0.11641129530126974,0.0016155206731016721,0.03815277225887104,0.19607244313664818,0.15791967087777714,-2.8962687722330727
W02000010,2021,Gwynedd 001,0.09295304405275805,0.00810245734821603,12,0.17902602181087776,0.0018607071167719633,0.09459252553614658,0.26382999410941826,0.16923746857327168,-0.8623194427371649
W02000011,2021,Gwynedd 002,0.12433733047748036,0.0053721902964639,18,0.06125104362480154,5.200207426642366e-4,0.01643984025890819,0.10588532434121373,0.08944548408230554,0.8218561694755926
W02000012,2021,Gwynedd 003,0,0,13,0.09512023590358075,0.001631368923652109,0.016419454934207017,0.17510781787092197,0.15868836293671496,-2.3550320731352525
W02000013,2021,Gwynedd 004,0.06754144696914653,0.00432395742111153,15,0.08963691937648577,0.001296068519473165,0.019189251336051483,0.16052350968894316,0.14133425835289168,-0.2947366420364024
W02000014,2021,Gwynedd 005,0,0,5,0.127275308465814,0.0015942965449659771,0.05021827063784333,0.20703439428044867,0.15681612364260533,-3.1875690827043477
W02000015,2021,Gwynedd 006,0.07864534144766384,0.00572050590698416,15,0.09508976248821395,0.0015698918160037825,0.017364063126677293,0.1729828865231715,0.15561882339649422,-0.19259409929043642
W02000016,2021,Gwynedd 007,0,0,4,0.10333952748309261,0.0017564799767606895,0.02167065336140707,0.18638677162060968,0.16471611825920263,-2.4657263128417606
W02000017,2021,Gwynedd 008,0.29622405171495725,0.05123598044056675,7,0.10078650578639044,0.0015076597371364716,0.025019753615760573,0.17751930757533646,0.15249955395957587,0.8509870489606729
W02000018,2021,Gwynedd 009,0.16517724306715606,0.02220608790766266,9,0.10998805013070952,0.0015311540121282204,0.03395336608149488,0.18767464824581137,0.1537212821643165,0.3582109976009607
W02000019,2021,Gwynedd 010,0.14870638382979637,0.01897832148608475,9,0.10923546917694925,0.0014860552224355249,0.03434809629603802,0.18577295533174337,0.15142485903570535,0.27591666335476706
W02000020,2021,Gwynedd 011,0.09952226276588916,0.00931368695508842,10,0.09211649877106917,0.0011241304845096695,0.026472581101884787,0.1580663877268983,0.13159380662501352,0.07248781676915401
W02000021,2021,Gwynedd 012,0.04884539924695608,0.00236761286709421,15,0.08776951704758727,0.001135909796350908,0.021632141576209768,0.15391742185512283,0.13228528027891306,-0.6576068261381598
