cell_id,domain_id,age_group,sex,pop_count
W02000001_age_0_15_sex_female,W02000001,age_0_15,sex_female,645
W02000001_age_0_15_sex_male,W02000001,age_0_15,sex_male,634
W02000001_age_16_24_sex_female,W02000001,age_16_24,sex_female,399
W02000001_age_16_24_sex_male,W02000001,age_16_24,sex_male,392
W02000001_age_25_44_sex_female,W02000001,age_25_44,sex_female,795
W02000001_age_25_44_sex_male,W02000001,age_25_44,sex_male,783
W02000001_age_45_64_sex_female,W02000001,age_45_64,sex_female,1281
W02000001_age_45_64_sex_male,W02000001,age_45_64,sex_male,1261
W02000001_age_65_plus_sex_female,W02000001,age_65_plus,sex_female,1116
W02000001_age_65_plus_sex_male,W02000001,age_65_plus,sex_male,1099
W02000002_age_0_15_sex_female,W02000002,age_0_15,sex_female,426
W02000002_age_0_15_sex_male,W02000002,age_0_15,sex_male,406
W02000002_age_16_24_sex_female,W02000002,age_16_24,sex_female,233
W02000002_age_16_24_sex_male,W02000002,age_16_24,sex_male,222
W02000002_age_25_44_sex_female,W02000002,age_25_44,sex_female,545
W02000002_age_25_44_sex_male,W02000002,age_25_44,sex_male,520
W02000002_age_45_64_sex_female,W02000002,age_45_64,sex_female,958
W02000002_age_45_64_sex_male,W02000002,age_45_64,sex_male,914
W02000002_age_65_plus_sex_female,W02000002,age_65_plus,sex_female,1096
W02000002_age_65_plus_sex_male,W02000002,age_65_plus,sex_male,1046
W02000003_age_0_15_sex_female,W02000003,age_0_15,sex_female,1126
W02000003_age_0_15_sex_male,W02000003,age_0_15,sex_male,1057
W02000003_age_16_24_sex_female,W02000003,age_16_24,sex_female,626
W02000003_age_16_24_sex_male,W02000003,age_16_24,sex_male,587
W02000003_age_25_44_sex_female,W02000003,age_25_44,sex_female,1336
W02000003_age_25_44_sex_male,W02000003,age_25_44,sex_male,1254
W02000003_age_45_64_sex_female,W02000003,age_45_64,sex_female,1393
W02000003_age_45_64_sex_male,W02000003,age_45_64,sex_male,1307
W02000003_age_65_plus_sex_female,W02000003,age_65_plus,sex_female,1003
W02000003_age_65_plus_sex_male,W02000003,age_65_plus,sex_male,941
W02000004_age_0_15_sex_female,W02000004,age_0_15,sex_female,525
W02000004_age_0_15_sex_male,W02000004,age_0_15,sex_male,500
W02000004_age_16_24_sex_female,W02000004,age_16_24,sex_female,354
W02000004_age_16_24_sex_male,W02000004,age_16_24,sex_male,337
W02000004_age_25_44_sex_female,W02000004,age_25_44,sex_female,659
W02000004_age_25_44_sex_male,W02000004,age_25_44,sex_male,629
W02000004_age_45_64_sex_female,W02000004,age_45_64,sex_female,1115
W02000004_age_45_64_sex_male,W02000004,age_45_64,sex_male,1063
W02000004_age_65_plus_sex_female,W02000004,age_65_plus,sex_female,1135
W02000004_age_65_plus_sex_male,W02000004,age_65_plus,sex_male,1083
W02000005_age_0_15_sex_female,W02000005,age_0_15,sex_female,534
W02000005_age_0_15_sex_male,W02000005,age_0_15,sex_male,494
W02000005_age_16_24_sex_female,W02000005,age_16_24,sex_female,332
W02000005_age_16_24_sex_male,W02000005,age_16_24,sex_male,307
W02000005_age_25_44_sex_female,W02000005,age_25_44,sex_female,706
W02000005_age_25_44_sex_male,W02000005,age_25_44,sex_male,653
W02000005_age_45_64_sex_female,W02000005,age_45_64,sex_female,1221
W02000005_age_45_64_sex_male,W02000005,age_45_64,sex_male,1130
W02000005_age_65_plus_sex_female,W02000005,age_65_plus,sex_female,1444
W02000005_age_65_plus_sex_male,W02000005,age_65_plus,sex_male,1335
W02000006_age_0_15_sex_female,W02000006,age_0_15,sex_female,704
W02000006_age_0_15_sex_male,W02000006,age_0_15,sex_male,678
W02000006_age_16_24_sex_female,W02000006,age_16_24,sex_female,375
W02000006_age_16_24_sex_male,W02000006,age_16_24,sex_male,361
W02000006_age_25_44_sex_female,W02000006,age_25_44,sex_female,821
W02000006_age_25_44_sex_male,W02000006,age_25_44,sex_male,791
W02000006_age_45_64_sex_female,W02000006,age_45_64,sex_female,907
W02000006_age_45_64_sex_male,W02000006,age_45_64,sex_male,873
W02000006_age_65_plus_sex_female,W02000006,age_65_plus,sex_female,781
W02000006_age_65_plus_sex_male,W02000006,age_65_plus,sex_male,752
W02000007_age_0_15_sex_female,W02000007,age_0_15,sex_female,622
W02000007_age_0_15_sex_male,W02000007,age_0_15,sex_male,601
W02000007_age_16_24_sex_female,W02000007,age_16_24,sex_female,334
W02000007_age_16_24_sex_male,W02000007,age_16_24,sex_male,322
W02000007_age_25_44_sex_female,W02000007,age_25_44,sex_female,799
W02000007_age_25_44_sex_male,W02000007,age_25_44,sex_male,773
W02000007_age_45_64_sex_female,W02000007,age_45_64,sex_female,948
W02000007_age_45_64_sex_male,W02000007,age_45_64,sex_male,917
W02000007_age_65_plus_sex_female,W02000007,age_65_plus,sex_female,798
W02000007_age_65_plus_sex_male,W02000007,age_65_plus,sex_male,772
W02000008_age_0_15_sex_female,W02000008,age_0_15,sex_female,420
W02000008_age_0_15_sex_male,W02000008,age_0_15,sex_male,389
W02000008_age_16_24_sex_female,W02000008,age_16_24,sex_female,286
W02000008_age_16_24_sex_male,W02000008,age_16_24,sex_male,265
W02000008_age_25_44_sex_female,W02000008,age_25_44,sex_female,670
W02000008_age_25_44_sex_male,W02000008,age_25_44,sex_male,620
W02000008_age_45_64_sex_female,W02000008,age_45_64,sex_female,831
W02000008_age_45_64_sex_male,W02000008,age_45_64,sex_male,769
W02000008_age_65_plus_sex_female,W02000008,age_65_plus,sex_female,883
W02000008_age_65_plus_sex_male,W02000008,age_65_plus,sex_male,818
W02000009_age_0_15_sex_female,W02000009,age_0_15,sex_female,642
W02000009_age_0_15_sex_male,W02000009,age_0_15,sex_male,637
W02000009_age_16_24_sex_female,W02000009,age_16_24,sex_female,364
W02000009_age_16_24_sex_male,W02000009,age_16_24,sex_male,362
W02000009_age_25_44_sex_female,W02000009,age_25_44,sex_female,791
W02000009_age_25_44_sex_male,W02000009,age_25_44,sex_male,785
W02000009_age_45_64_sex_female,W02000009,age_45_64,sex_female,1177
W02000009_age_45_64_sex_male,W02000009,age_45_64,sex_male,1169
W02000009_age_65_plus_sex_female,W02000009,age_65_plus,sex_female,1055
W02000009_age_65_plus_sex_male,W02000009,age_65_plus,sex_male,1048
W02000010_age_0_15_sex_female,W02000010,age_0_15,sex_female,335
W02000010_age_0_15_sex_male,W02000010,age_0_15,sex_male,313
W02000010_age_16_24_sex_female,W02000010,age_16_24,sex_female,2376
W02000010_age_16_24_sex_male,W02000010,age_16_24,sex_male,2226
W02000010_age_25_44_sex_female,W02000010,age_25_44,sex_female,850
W02000010_age_25_44_sex_male,W02000010,age_25_44,sex_male,796
W02000010_age_45_64_sex_female,W02000010,age_45_64,sex_female,500
