cell_id,domain_id,age_group,sex,car_access,pop_count
W02000001_age_16_24_sex_female_no_car_access,W02000001,age_16_24,sex_female,no_car_access,20.80138432977201
W02000001_age_16_24_sex_female_car_access,W02000001,age_16_24,sex_female,car_access,131.14090467632758
W02000001_age_16_24_sex_male_no_car_access,W02000001,age_16_24,sex_male,no_car_access,20.472372821251067
W02000001_age_16_24_sex_male_car_access,W02000001,age_16_24,sex_male,car_access,129.06667412549805
W02000001_age_25_44_sex_female_no_car_access,W02000001,age_25_44,sex_female,no_car_access,41.49757834687766
W02000001_age_25_44_sex_female_car_access,W02000001,age_25_44,sex_female,car_access,261.61864422154855
W02000001_age_25_44_sex_male_no_car_access,W02000001,age_25_44,sex_male,no_car_access,40.84121910484725
W02000001_age_25_44_sex_male_car_access,W02000001,age_25_44,sex_male,car_access,257.4806722756459
W02000001_age_45_64_sex_female_no_car_access,W02000001,age_45_64,sex_female,no_car_access,66.8484436994696
W02000001_age_45_64_sex_female_car_access,W02000001,age_45_64,sex_female,car_access,421.44144081823606
W02000001_age_45_64_sex_male_no_car_access,W02000001,age_45_64,sex_male,no_car_access,65.79111467967157
W02000001_age_45_64_sex_male_car_access,W02000001,age_45_64,sex_male,car_access,414.77558233503925
W02000001_age_65_plus_sex_female_no_car_access,W02000001,age_65_plus,sex_female,no_car_access,58.24913563899494
W02000001_age_65_plus_sex_female_car_access,W02000001,age_65_plus,sex_female,car_access,367.22769135027255
W02000001_age_65_plus_sex_male_no_car_access,W02000001,age_65_plus,sex_male,no_car_access,57.327820226385725
W02000001_age_65_plus_sex_male_car_access,W02000001,age_65_plus,sex_male,car_access,361.419321350162
W02000002_age_16_24_sex_female_no_car_access,W02000002,age_16_24,sex_female,no_car_access,7.455329836937968
W02000002_age_16_24_sex_female_car_access,W02000002,age_16_24,sex_female,car_access,67.94926917126162
W02000002_age_16_24_sex_male_no_car_access,W02000002,age_16_24,sex_male,no_car_access,7.111977219332596
W02000002_age_16_24_sex_male_car_access,W02000002,age_16_24,sex_male,car_access,64.81988925855383
W02000002_age_25_44_sex_female_no_car_access,W02000002,age_25_44,sex_female,no_car_access,17.450387420525132
W02000002_age_25_44_sex_female_car_access,W02000002,age_25_44,sex_female,car_access,159.04609157668926
W02000002_age_25_44_sex_male_no_car_access,W02000002,age_25_44,sex_male,no_car_access,16.646715908987286
W02000002_age_25_44_sex_male_car_access,W02000002,age_25_44,sex_male,car_access,151.72127925353809
W02000002_age_45_64_sex_female_no_car_access,W02000002,age_45_64,sex_female,no_car_access,30.673357043401925
W02000002_age_45_64_sex_female_car_access,W02000002,age_45_64,sex_female,car_access,279.5627074474763
W02000002_age_45_64_sex_male_no_car_access,W02000002,age_45_64,sex_male,no_car_access,29.260706273825544
W02000002_age_45_64_sex_male_car_access,W02000002,age_45_64,sex_male,car_access,266.6875443780501
W02000002_age_65_plus_sex_female_no_car_access,W02000002,age_65_plus,sex_female,no_car_access,35.09739892466182
W02000002_age_65_plus_sex_female_car_access,W02000002,age_65_plus,sex_female,car_access,319.8842517908623
W02000002_age_65_plus_sex_male_no_car_access,W02000002,age_65_plus,sex_male,no_car_access,33.48100044793499
W02000002_age_65_plus_sex_male_car_access,W02000002,age_65_plus,sex_male,car_access,305.1520940479611
