cell_id,domain_id,age_group,sex,car_access,economic_status,pop_count
W02000001_age_16_24_sex_female_no_car_access_econ_employed,W02000001,age_16_24,sex_female,no_car_access,econ_employed,10.11759989161437
W02000001_age_16_24_sex_female_no_car_access_econ_unemployed,W02000001,age_16_24,sex_female,no_car_access,econ_unemployed,0.6634975154803945
W02000001_age_16_24_sex_female_no_car_access_econ_inactive,W02000001,age_16_24,sex_female,no_car_access,econ_inactive,10.020286922677245
W02000001_age_16_24_sex_female_car_access_econ_employed,W02000001,age_16_24,sex_female,car_access,econ_employed,63.785716465052445
W02000001_age_16_24_sex_female_car_access_econ_unemployed,W02000001,age_16_24,sex_female,car_access,econ_unemployed,4.182974702604722
W02000001_age_16_24_sex_female_car_access_econ_inactive,W02000001,age_16_24,sex_female,car_access,econ_inactive,63.17221350867042
W02000001_age_16_24_sex_male_no_car_access_econ_employed,W02000001,age_16_24,sex_male,no_car_access,econ_employed,9.957571753574202
W02000001_age_16_24_sex_male_no_car_access_econ_unemployed,W02000001,age_16_24,sex_male,no_car_access,econ_unemployed,0.6530031024640616
W02000001_age_16_24_sex_male_no_car_access_econ_inactive,W02000001,age_16_24,sex_male,no_car_access,econ_inactive,9.861797965212805
W02000001_age_16_24_sex_male_car_access_econ_employed,W02000001,age_16_24,sex_male,car_access,econ_employed,62.776830014826174
W02000001_age_16_24_sex_male_car_access_econ_unemployed,W02000001,age_16_24,sex_male,car_access,econ_unemployed,4.116813393569189
W02000001_age_16_24_sex_male_car_access_econ_inactive,W02000001,age_16_24,sex_male,car_access,econ_inactive,62.17303071710269
W02000001_age_25_44_sex_female_no_car_access_econ_employed,W02000001,age_25_44,sex_female,no_car_access,econ_employed,20.184036193384923
W02000001_age_25_44_sex_female_no_car_access_econ_unemployed,W02000001,age_25_44,sex_female,no_car_access,econ_unemployed,1.3236397970013432
W02000001_age_25_44_sex_female_no_car_access_econ_inactive,W02000001,age_25_44,sex_female,no_car_access,econ_inactive,19.989902356491392
W02000001_age_25_44_sex_female_car_access_econ_employed,W02000001,age_25_44,sex_female,car_access,econ_employed,127.24887557756352
W02000001_age_25_44_sex_female_car_access_econ_unemployed,W02000001,age_25_44,sex_female,car_access,econ_unemployed,8.344796562212705
W02000001_age_25_44_sex_female_car_access_econ_inactive,W02000001,age_25_44,sex_female,car_access,econ_inactive,126.02497208177232
W02000001_age_25_44_sex_male_no_car_access_econ_employed,W02000001,age_25_44,sex_male,no_car_access,econ_employed,19.864789161997578
W02000001_age_25_44_sex_male_no_car_access_econ_unemployed,W02000001,age_25_44,sex_male,no_car_access,econ_unemployed,1.302704040061048
W02000001_age_25_44_sex_male_no_car_access_econ_inactive,W02000001,age_25_44,sex_male,no_car_access,econ_inactive,19.67372590278862
W02000001_age_25_44_sex_male_car_access_econ_employed,W02000001,age_25_44,sex_male,car_access,econ_employed,125.23620450492501
W02000001_age_25_44_sex_male_car_access_econ_unemployed,W02000001,age_25_44,sex_male,car_access,econ_unemployed,8.212808514604525
W02000001_age_25_44_sex_male_car_access_econ_inactive,W02000001,age_25_44,sex_male,car_access,econ_inactive,124.03165925611634
W02000001_age_45_64_sex_female_no_car_access_econ_employed,W02000001,age_45_64,sex_female,no_car_access,econ_employed,32.51446134574429
W02000001_age_45_64_sex_female_no_car_access_econ_unemployed,W02000001,age_45_64,sex_female,no_car_access,econ_unemployed,2.132251181227766
