area_id,time_id,msoa_name,n,direct_estimate,variance,adj_variance,inla,summer,diff
W02000001,2025,Isle of Anglesey 001,22,0,0,0.07479202193890655,0.03074881766103807,0.03038796288236022,3.608547786778486e-4
W02000002,2025,Isle of Anglesey 002,26,0,0,0.07479202193890655,0.02285482342017314,0.0233747401550531,-5.199167348799612e-4
W02000003,2025,Isle of Anglesey 003,24,0.1576977619503072,0.014828888034497414,0.014828888034497414,0.037473219777334824,0.037333949587753955,1.3927018958086873e-4
W02000004,2025,Isle of Anglesey 004,24,0.03565226194151003,0.0012799981057346975,0.0012799981057346975,0.02866156417169046,0.02825734669637111,4.042174753193517e-4
W02000005,2025,Isle of Anglesey 005,20,0,0,0.07479202193890655,0.022157873229105517,0.022942681747517103,-7.848085184115859e-4
W02000006,2025,Isle of Anglesey 006,28,0.01865654196428784,3.559421509882273e-4,3.559421509882273e-4,0.03281736031894335,0.03212747677226301,6.898835466803352e-4
W02000007,2025,Isle of Anglesey 007,25,0.10934196997178637,0.006200308799752165,0.006200308799752165,0.03669039141777118,0.03647518039082836,2.1521102694282285e-4
W02000008,2025,Isle of Anglesey 008,18,0,0,0.07479202193890655,0.028406774089338227,0.02929785589714138,-8.910818078031527e-4
W02000009,2025,Isle of Anglesey 009,27,0.04679943133444532,0.002108172756307532,0.002108172756307532,0.031901160632430474,0.03278056546064117,-8.794048282106948e-4
W02000010,2025,Gwynedd 001,14,0,0,0.07479202193890655,0.06907977147978378,0.0691090447066366,-2.927322685282452e-5
W02000011,2025,Gwynedd 002,17,0,0,0.07479202193890655,0.041157839889183416,0.04123792705230097,-8.00871631175537e-5
W02000012,2025,Gwynedd 003,15,0.09898799288222276,0.008692141739675599,0.008692141739675599,0.036271917778206396,0.036139752218327166,1.3216555987922984e-4
W02000013,2025,Gwynedd 004,8,0,0,0.07479202193890655,0.03687093134115933,0.036026153910434414,8.44777430724919e-4
W02000014,2025,Gwynedd 005,17,0,0,0.07479202193890655,0.03676232306445551,0.036456714995412545,3.0560806904296467e-4
W02000015,2025,Gwynedd 006,8,0,0,0.07479202193890655,0.03391915774467954,0.03364528560906817,2.7387213561137075e-4
W02000016,2025,Gwynedd 007,15,0,0,0.07479202193890655,0.029843583680379322,0.029928003472744567,-8.44197923652451e-5
W02000017,2025,Gwynedd 008,18,0.12546370357599285,0.01319176345691421,0.01319176345691421,0.03217280982977935,0.03278131089398001,-6.085010642006561e-4
W02000018,2025,Gwynedd 009,25,0.011321691227063543,1.336310862612681e-4,1.336310862612681e-4,0.024785143924646435,0.025440764974549092,-6.55621049902657e-4
W02000019,2025,Gwynedd 010,21,0,0,0.07479202193890655,0.021445283193927786,0.02028869877257464,0.0011565844213531455
W02000020,2025,Gwynedd 011,19,0.04945886707352073,0.002439268907721697,0.002439268907721697,0.024876606917430696,0.025571077497941366,-6.944705805106699e-4
W02000021,2025,Gwynedd 012,16,0.09203686089221455,0.00778271172557986,0.00778271172557986,0.027778521452100663,0.0276800561062657,9.84653458349638e-5
W02000022,2025,Gwynedd 013,21,0,0,0.07479202193890655,0.020916434462106042,0.021654693181265495,-7.382587191594528e-4
W02000023,2025,Gwynedd 014,10,0,0,0.07479202193890655,0.026502053258160078,0.02664826844554113,-1.4621518738105327e-4
W02000024,2025,Gwynedd 015,10,0,0,0.07479202193890655,0.02907868198702024,0.028749053473554498,3.296285134657406e-4
W02000025,2025,Gwynedd 016,13,0,0,0.07479202193890655,0.022329023647646953,0.022988046795574108,-6.590231479271548e-4
W02000026,2025,Gwynedd 017,14,0,0,0.07479202193890655,0.01643178897368458,0.01618731656568652,2.4447240799806147e-4
W02000027,2025,Conwy 001,14,0,0,0.07479202193890655,0.01630300854132772,0.014832685721543037,0.0014703228197846824
W02000028,2025,Conwy 002,20,0,0,0.07479202193890655,0.022200662031058135,0.0215433904805669,6.572715504912334e-4
W02000029,2025,Conwy 003,16,0,0,0.07479202193890655,0.021764534146962475,0.022575682721531327,-8.11148574568852e-4
